Age,Review Text,Rating,Recommended IND,Positive Feedback Count
24,"this is a nice shirt, but i cannot keep it. i ordered a 0 and i do have an athletic build with somewhat wider shoulders given how petite i am usually wear 00 petite in all pants and i think this size was perfect fit across the back perfectly when you lift your arms the way it is cut makes it really tight across the chest and shows your stomach. at the same time, the high low styling makes for a really strange shirttail in the back. i am sure this is the trend but it really does not look cute",2,0,3
52,the online picture does not do this skirt justice. it is very pretty and unique in design. i think it should be worn with a tighter shirt that is tucked in unlike the picture. this is truly a pretty pencil skirt.,5,1,7
32,i bought the mauve color and it is very pretty. i felt as though sizing up was a better choice. i am usually an xs or a small and i went with the small. i liked the length of the small better. the shoulders add a cute look to it.,5,1,0
39,"i cannot say how much i love this dress. i purchased it in midnovember and i am wearing it for the 4th time this evening, which prompted me to write a review. it fits tts. the stomach area is slightly unforgiving, but due to the dark color, it is not at all a deal breaker. plus, it is a great dress to wear with opaque tights, which solve the tummy issues as well. what i love most about this dress is its ability to go from day to nightless formal to more formal. it looks great with edgy black ankl",5,1,0
59,"the top i received was large, really long in length, pockets in the front along the seam, and lots of volume in the back without any princess seams to give it shape. the id s matched, but that is about it. returned!",1,0,1
47,"this oversized sweater is lightweight and scratchy. i knew it would fit big, but the neck is overly bulky. the color is a bright blue as depicted in the picture. fits a little larger on me than on the model. i am petite so it overwhelmed me.",2,0,0
30,i loved this skirt on the rack. but it was not lined and super scratchy when worn. i could barely wear it for the length it took to try it on. so sad. such a gorgeous skirt.,2,0,2
51,i saw this on one of the gals at my local retailer and fell in love. it is the coolest bomber and i instantly fell for it. i went with my normal l and i will be wearing this all fall and winter long it is just so unique and eye catching,5,1,10
44,"such a pretty fall sweater. nice fit. wore it once out shopping and it snagged  had to return, sadly.",2,0,0
62,i really like this shirt. the material was a little heavier cotton than i expected in looking at the picture which is good otherwise it could look like you slept in the shirt. it is something that is going to wrinkle when you wear it so if that is bothersome then pass on this shirt. it is a bit longer which i also like because it will work by itself or under a jacket or sweater.,4,1,1
59,"the photo of the mila turtleneck where model has her hands to her sides, and just below her hair, there is a bit of extra fabric which falls to the bottom of the sweater in a bit of a pleat well, it is not representative of the abundance of fabric in the xl. i usually wear an l or xl well with retailer clothing. the excess added the appearance of excessive pounds from breasts to bottom of sweater. bummer. i will be returning it.",2,0,3
38,this top was very cute but super short and i am a short waisted petitie personthe waistline hits above your belly button looks very silly.,1,0,1
44,love the look of these casual or dressy depending on what you pair with them. they are so comfortable! edgy but relaxed  joggers with a leather look what more could you ask for?,5,1,0
51,"love this top! got it in white for a recent trip to paris  felt chic and cool during a bit of a spring heat wave in the city of lights. it runs somewhat small  i am 57, 128 lbs, broad shoulders, and got the 6. my usual 4 fit but was a little snug. i would recommend going up in size in this style. the 6 looked better because it is supposed to be a boxy, swingy top.",5,1,1
54,im not crazy about maxi dresses so when i found this fun print with fringeit spoke my language. love this dress. feel this dress will work with many seasons. dress falls nicely and feels comfortable. i was worried it would be too long but with a 2 inch heelits perfect. have paired it with some red dangled earrings that spice it just right.,5,1,0
56,"pros pretty, nicely made.cons the fabric is stiffer than i was expecting, and the blouse cuts in under the arms. i do not mean that it is tight or digs in, but it cuts in you cannot tell in the angle of the photo. the blouse is short as well, and, as i am curvy, it really stuck out all around at the waist. worth trying on if you have a straighter figure.",3,0,5
67,"this is truly a lovely dress. the colors are beautiful and i love the contrasting but complimentary fabrics which add interest to an already elegant dress. the material is substantial without being stiff so that it flows gracefully and it flatters the figure.in my opinion if fits true to size, i am 32b, 5 and 103lbs and i got it in a 2p which is the size i normally get in dresses. it is slightly more loose than other retailer dresses in the same size but it still follows your curves without being",5,1,0
42,i tried the yellow striped dress on in the store and it is completely sheer.,3,0,7
60,i just received this jumpsuit and was so excited.  unfortunately it is too small and will have to go back.  the top is so cute and the material is thick so no need for a bra which i really liked.  it runs short in the stride and also in the top.  i ordered a petite since i am only 50 tall and was very surprised how short the stride was.  the length was great and would love to have been able to kept it.,4,1,0
38,"i love drop shoulder sweaters and find them to be very flattering so i took a chance on this one despite the reviews stating it runs very large. i was attracted to the style as well as the natural cotton fiber, which i find holds up best over time. i am 34b and usually wear xs or small and in this i ordered the xs. it fits perfectly! i layered this soft pink sweater over a rounded hem tee with a black and white pattern so cute! it is slightly short on my 58 frame so the shirt tail hems peeked",5,1,1
73,"i walked into a hair salon wearing this dress, and everyone who walked by complimented me. to me, that is a definite winner! i got the blue color, and the various colors in it are vibrant and lively. the underdress is like a full slip and an added bonus. this probably also makes the dress hang the way it should. there is no static or clinging where there should not be. i was afraid i might be too short to pull this off, but i absolutely love it.",5,1,0
46,"if you can get over the fact that this skirt feels and looks awfully similar to the exact same fabric your drugstore halloween costumes had when you were a little kid... then, it is surprisingly fun to wear.",3,1,0
52,i loved this shirt when i purchased it but it shrank badly and the front seam on mine was crooked. no longer have my receipt so not sure i can return it sigh. i do love the pilcro chinos i bought to go with it however!,2,0,6
40,"this dress is gorgeous. it is somewhat fitted but i did not find it to run small. i am top heavy 36d and usually wear a size 10, but i bought this in an 8 and it fits me great. i will say the zipper is a bit tricky. at first i thought the dress was too tight but it turned out the zipper was stuck. after fiddling with it, i realized the dress fit but the zipper was a bit tricky. i wore it to work and got so many compliments. also the picture makes the background look burgundy but it is mostly blac",5,1,1
37,"i was so excited to receive this shirt and so disappointed when i tried it on. it is a lot fuller than it looks in this picture or maybe it is because i ordered a large? i am 58, 180lbs, 36d bra size and can fit into a large at retailer just fine but it made me look huge! not flattering at all and it was so full that it looked like a short dress!",3,0,10
46,this top is beautiful but beware there is a lot of extra material on the sides. it was not flattering on only because of all the excess fabric. clearly the model in the picture has it pinned behind her. it would be a keeper if it was cut closer to the body but sadly it is going back.,3,0,6
66,"i ordered size large and find this to be way too oversized, wide, long and unattractive on my frame. the print is just okay but since it does not wow me, i am returning.",3,0,0
66,"i love this jacket  can dress it up or dress it down. over a dress, skirt or jeans. very soft and flattering!",5,1,1
75,"color is beautiful but looks like a maternity top on. i found i could tuck it in slacks and it looked fine. now for the cons  it is supposed to be peacock design but i had only one peacock,under my arm, which could be seen, i guess, if i waved. the rest were parts of the bird. i would love to have the one in the photos!  next, who thought cheap white buttons on the back was a good idea?  if i had gotten a nice patterned top, i would have replaced the buttons. blouses that i like never seem to b",3,0,1
63,the purplecobalt is a beautiful color. i feel the t shirt material is entirely too thin for the price.,3,0,0
25,"i have other stevies, and these are nothing like them. the quality is very synthetic to a point that the material is shiny. the pants themselves run very small in the waist, approx. two sizes too small compared with other stevies. additionally, the cuff is sewn like that in place, and hits at an odd spot if you are taller or have strong calves. see how it gapes in the cuff on the model? like, a rounded bottom? that is way more emphasized in real life. buyer beware!",1,0,1
34,"no need to be on the fence about this top, it is lovely! what you see pictured here, is exactly what you get, even the color of the top is 100 accurate. for reference i am usually an xl16, apple shape, 40 c bust, and this xl does not cling at all to me, so you may even be able to size down. the drape of the clipdot fabric is flattering, and thick enough not to need a cami. all of the fabrics used are nice and soft... and the details! it is going to be a beautiful spring!",5,1,16
24,i like the look of this tee and the fit is fine but it is described as a cottonrayon jersey and in fact it is 50 polyester. i would not have ordered if i had known and now have to take it back.,3,0,0
26,"i love dark colors and i loved the summer touch to this top that i feel like i can wear it year round! the little anchors on the buttons are such a cute touch very retailer. it does run slightly smaller, but not in an extreme way. i would love to see more styling options for this top because i am a little stumped at how to wear it outside of my white high waisted shorts, haha.",5,1,1
46,these jeans are adorable!  i wear a 10p and the 30 petite fit perfectly. great quality and will look cute with a boxy crop top and flats.,5,1,16
40,"on the hanger, this looks like a great dress .. especially to wear to a hawaii wedding. on me, not quite. the bell shape of this dress made it appear that i was carrying extra weight in the middle ... and the shorter length accentuated my big calves. for reference, i tried a 00p and i am 51, 102, and 34a.",4,1,0
25,i ordered a regular size small. would have got petite small if available. still very happy!,4,1,1
32,"was very disappointed with this dress. it is very baggy, no shape. felt like an oversized sack. purchased in med. bust area was only semi good fit all else flopped ",2,0,3
34,"i was really excited for this top to arrive and was really disappointed once i tried it on. i am sure this is a gorgeous top on someone with a straighter or more slender frame. it is good quality and looks fine on the hanger. i think the color in the picture online accurately shows the color. ladies with hips or a booty, beware...this looked horrible on me! it clung to my butt and did not hang nice and straight like it does in this picture. i expected the fabric to have a little give to it but it",1,0,1
57,"this sweater coat is perfect. i have been looking for one i loved for years. in my opinion, it runs true to size. i ordered my usual xsp. it is fitted in the arms and loose on the body. i love it.",5,1,0
34,"the fabric and color are very nice, as is the cut, however this is entirely unsuited to someone as short as i 53. i also have a proportionally short torso, so the split hits in the completely wrong place. someone taller is likely to love this.",4,1,5
33,"this is a lovely skirt that fits well, but it is much more of a yellowy cream color than white. also, it felt very staticy.",3,0,4
25,"this shirt was strange. the bow tie was too thin and the dots were too dominant on the shirt. it looks okay in the model picture, but when i tried it on the bow and the dots just clashed.",3,0,0
25,i fell in love with this dress as soon as i came across it online. ordered the dress in a large and it fit perfectly. i am smaller on top and larger at the bottom pear shaped. the dress fit well and hid all of my flaws. only problem was that it wrinkled very easily and i am wondering if i received a dress that was sitting around for awhile since it was covered with lint and white fuzz when i received it in the mail. other than that the design was absolutely beautiful with incredible embroidery.,4,1,0
35,"love the style and fit, but it does stretch out during wear. by the end of the day, it feels big.",3,1,0
30,i recently bought this top in both the black and blue motifs and love it! i am currently 7 months pregnant and this top provides great coverage for the bump. i agree with another reviewer that noted that it is a little tight in the bust as i had to go up a size for that reason.,5,1,0
32,"the dress has a flattering cut and is a nice color. but, the fabric looks like old, matted carpet. i will be returning.",3,0,0
38,"the material of the shirt and the ties are two different materials. the shirt is a very soft cotton, but the ties are of a more dressier material. i expected the shirt to be of the dressier material. overall it is a cute shirt, just not what i expected.",3,1,1
41,"this cardigan is utterly gorgeous. way prettier on than i feared. my only issue is it felt a little itchy in the arms, and so i finally looked closely at the tag. the tag says the back section which looks exactly like the weave on the arms has a measly 5 wool snuck into the fabric content. why, retailer? why wool? i am so sensitive to it! my eyes have been demon red and itchy all day, classic symptoms that led to my getting rid of anything in my wardrobe with wool in it.now i have a problem",5,1,1
55,"these are the most comfortable pants i own. i bought them in the gold, green, and gray which really does look more like a grayish purple. the gold is my favorite  it goes with so many things! i was just checking to see if there were any other colors  would love them in black and a burgundy. i am about 125 lbs,, 5 foot 7, and the 28 is a perfect fit. the saleswoman warned that they would stretch out, but i have not found that to be a real problem.",5,1,0
34,omg  i laughed so hard after i put these on. i was so excited to get them. i ordered them in my usual 4. i got a little suspicious when i pulled them out and noticed they had an elastic waist band.they were a little too small for me and even if they were not it is hard to imagine a world in which they did not make me look like an oompa loompa or a hobbit! they are beautifully made and i kept looking at the picture and wondering why they do not look like that on me? i definitely have a curvier sh,3,0,1
32,"i was at first a bit leery of this dress because of the shape. baggy is in, but it is not always flattering. i am usually a big smallmedium and the medium was too fluffy. i realize it is supposed to be loose, but not that loose. i am 58 and 146 lbs and the small was the best option. perfect amount of looseness but still gave a hint of shape. it has pockets and is so comfortable. i am a school teacher so i try to find clothes that i can wear in both worlds. this is definitely a keeper! i will for",5,1,4
35,"this sweater is a cute design but did not work for me. i am 59 and this is way to shortcropped and looks awkward. the quality was so so, it looked stretched out in the front. it is getting returned.",2,0,1
59,"i ordered this in grey first but did not care for the black lace  so, decided to try the creambeigeneutral and i just love it. i have areas i am trying to cover up and this really fits the bill without looking too much like an oversized tunic. the back is the clincher. different and surprising. washes excellently, but i did line dry as i was afraid of shrinkage. if there are any left you will not be sorry and the neutral color looks good on almost everyone!",5,1,5
30,despite other reviewers comments on size  i really wanted this one to work so i ordered it. i am typically a size xs and d chest and instead i ordered a small. the body of the sit for well but the cups of the suit i would said for more for a b. if i lifted my arms i would literally come out of it,3,0,5
46,"i wanted to love this dress. i went into retailer in sb to try it on and when i saw it on the rack it looked beautiful, both the print and the material. then i tried it on and it fit like a tent. i am just under 55 and it hit right below my knees, not like shown in the picture here. on that note, i passed on this one due to the fit. i think this would make a fantastic maternity dress though.",3,0,2
48,i have gotten many compliments with this delightful dress. colors ar light and just right for a summer day. so comfortable and has a nice inner lining. very light and comfortable.,5,1,0
35,cute skirt but i agree with the other reviewer. you cannot get it on! i tried my skinny daughter tried no go!,1,0,3
39,these pajama pants are beautiful but very sheer and very delicate.  not ideal for a mom with kids,3,0,0
69,"this pant is beautiful and fits great except for the waist. it is too big. i carry all my extra weight in my waist too. 5 6 12, 150lbs, straight and up down figure. the waist gapped in the back almost 2 inches. otherwise this is a great pant, if you have a well developed bootie, maybe they would fit. ordered a 10 by the way. if they make it to sale, will purchase again and take to tailor. they are a well constructed lovely pant.",3,1,3
27,there is a free people version of this top and this by far surpasses the fit of it. i am 53 and purchased the xl and it fits me exactly like the model. i would say it is tts and extremely soft.,5,1,0
57,"i was pleasantly surprised when i received this top in the mail. i expected the top to be more of a tee shirt but it is very soft and more like a light sweater. i feel the sizing is truetosize but the design is not meant to be close to the body. for me, the shoulders and length were perfect.this top is all about the sleeves. matador? perhaps, but it was the sleeves that attracted me to this sweater. i will wear with with a vest, skinny jeans and booties.",5,1,0
33,"the model does not look as good in this shirt as it looks in real life. it is flowy, flattering, and elegant, not to mention warm and soft. i hope it holds up!",5,1,0
41,"i was excited to receive this dress because it seemed like a beautiful, breezy dress for summer. unfortunately i did not find the fit to be very flattering. as two other reviewers mentioned there is too much fabric creating an odd bunching especially at the back waistline. i also found the dress to be a little tight across the bustline, upper arms and shoulders. the bunching can be improved by pulling the fabric of the dress forward in the front but this creates more of a plunging neckline than i",3,0,6
28,this is a beautiful piece for the price. very well made and flattering. i am a 34c and usually wear a size 24 on top and solid size 4 on bottom. a size small in this fit great. it does not provide any support up top though so be aware of that.,4,1,2
53,"very quick delivery. ordered sunday and in my mailbox tuesday before noon! nice fit, length is perfect. i am 53 and the regular size 6 hits just above the knee. one thing is the nice little button in the back fell off just as i was going to try it on. found on the floor and i will just sew it back on. other than that i love the print and everything about the dress. true to size. ?? retailer",5,1,0
25,the horizontal lines on the skirt and top gives the wearer and very nice dress. i am short so i got the 6 petite and it fits perfectly. the fabric is thick and stretchy.,5,1,0
43,"i had loved this online when i saw the pretty floral pattern. however, in person, it is such a disappointment. the quality of the fabric and the fit are just very poor.",1,0,4
41,"i should have heeded the previous reviewers advice. but i am really short so i thought i would give it a try. there is something really wrong with the bust. first, it is about 34 inches higher than it should be. the bottom trim cut across the middle of my bust. even if i hoisted everthing up in there to fit the cups, they are really only designed to fit cones, not curves. from the side it looked hideous. too bad, because the fabric and fit everywhere else is gorgeous.",1,0,17
59,"i saw this in the store today, tried on a small and a medium and a medium fit me better which is unusual. usually i am a small. this top is fitted around the chest and flowing at the bottom, a little longer than usual but the pattern is so pretty that i got it. i am 54 135 pounds and got a medium.",5,1,2
45,"the fabric is very thin. it is not see through, just thin. i would have kept this if the full length she will was not longer than the dress.",3,0,0
49,"i live in south florida so i am always looking for sundresses that will be flattering but not too clingy or hot, and that i can take from day to evening with accessories. when i pulled this out of the box and walked around in it, it met all my criteria, and as an added bonus, my husband said, wow! you look great! where did you get that dress? i am shocked because as an earlier reviewer said, this dress does not seem like much  it is not even lined. but it is comfy, flattering in all the right pla",5,1,6
44,"lightweight and comfy fabric, very flattering on, except runs a bit big through the body. i normally wear a 1214 and a l at most stores, but retailer seems to run large on me, so i needed to exchange this for a smaller size as the fabric width on the body was just too much.",4,1,8
33,this is a very cute designed shirt but it fits very boxy and runs large,3,1,0
51,really wanted to like this top. the model has it on backwards  the v is actually the back and closes with an eye hook that is where the tag is ? there is also a seam running down the back. the front is actually a high round neck. the material has a metallic thread and felt rather scratchy cheap. i am usually a s or xs. in this top the s had too much material at the bottom and flared out strangely. the xs was too short in the front and moving your arms caused it to ride up.,3,0,0
26,"loved these in store when i tried them on but was in between sizes so i ordered them in the larger size. boy do i regret that! these stretch out so much i have to wear a belt with them and it gives me this saggy bunchy front when i sit...not attractive. wish i could return them, but i took the tag off and wore them not knowing this before hand!! if in between sizes definitely size down.",2,0,0
33,"i waited for this dress to go on sale and when it did i bought it right away. i am disappointed!!! the lace fabric is very stiff. i should have listened to the previous reviewer. i feel like it is poking out on my arms and neck. although i appreciate the careful placements of flowers on the dress, had the fabric been different, i think it would be a great dress.",2,0,0
47,love this sweater. the hilow length is fun. the elbow length sleeves are great. wish retailer offered more colors! low part of the sweater is a touch clingy at first but stretches well. works well with jeans or leggings. overall perfect layering piece for all seasons.,5,1,0
38,"this sweater is big and box. it looks very similar on as it does on the model. as other reviewers have mentioned, the embroidery on the shoulders is a bit itchy.",3,0,1
66,"in the online picture this lightweight sweatshirt looked so inviting that i decided to order it. when it arrived, i could not believe how soft and comfortable it felt! it was equally comfortable on. the rayon, tencel and cotton content of the fabric created such a comfy feel, that this top is sure to be a favorite for a relaxing weekend or evening. i ordered the size 3 even though i usually order a small in most tops. this one seems to lend itself to the oversized look, and i was right about t",5,1,2
54,i got this sweater in navy and it is much cuter than online! it is a great transition sweater and also i can see it used on cool nights at the beach. i have worn in professional environment to work as well as with a tee and jeans. i love it!,5,1,0
62,"i should have paid more attention to the reviews of this sweater before ordering. although the material looks soft and cozy in the photo, it is very scratchy and uncomfortable. i was also hoping the opening of the collar would be a little wider, which would have been more flattering on me. i never wear turtlenecks of any kind so i took a chance on this. i am sure others will look fabulous in this sweater and may be happy with it if they do not mind the texture. i am sending it back.",3,0,1
38,love this jacket.  it is quite stylish and comfortable at the same time.  i was surprised at how affordable it was.  my only complaint is that it could wash you out if you have pale skin and get the peach color.,5,1,0
69,"cozy slouchy sweater. very versatile. fits tts, just as shown on model.",4,1,0
53,"...but it does have it is problems. the neck, although it has pretty button detail at the back, is very outsized on me. i would like to see it fit a bit more snugly as by not laying flat, necklaces bunch up and are hard to wear with it. it is just sort of floppy if i am making sense. the camisole liner is nicely made and attaches with snaps at the shoulders which gives this a definite plus. the fabric is sort of like chiffon with appliquã©d flowers. the color combination is beautiful and with the",4,1,0
31,very nice fabric and quality but runs very large. i had to return my pair of a size 0. stinks to pay for shipping on a product that looks so different in the picture.,2,0,0
60,i sized down to an xs based on reviews and the fit was perfect. i am 34 b and usually take a small. i like the classic lines with the sexy edge. this is a heavier sweater but perfect for our houston fall and winter. if you size down the sweater has a much nicer fit to it and is not at all loose fitting. it just skims your curves.,5,1,1
44,i had high hopes for this top. i love the plaid and design but found it too boxy and short. the front was cut too low as well.,4,0,1
70,beautiful and comfy!!!! love it!,5,1,0
41,"this skirt is very short. i ordered my usual xs petite and it was so short that the longest part ended above my ankle. that is quite off because i am only 5 feet tall, and i wore it pretty low on the hips. it also flares out awkwardly below the knee. there are 2 vertical seems and they exacerbate the jagged appearance of the hem. i was drawn to the edgy style shown in the photo but in person it looks like my 5 year old cut up a skirt. plus, the fabricwhile thick and beautiful and stretchyhas a",2,0,11
50,"i wanted to love this turtleneck. i read the reviews before ordering. i love the color, the weight of the knit, the ribbing. the small fit me perfectly i am a 34b, not broad shouldered, and on the thin side in my upper body. however, this item has a strange blousy fit. the picture of the back view hints at this but it is worse in person. it is like a bell shaped top or even slightly trapezey, which simply does not work with my shape. plus, i am long waisted. i could have made this work had it not",3,0,4
40,"i own some pure and good cotton tanks similar to this in black that i live in teaching dance. i was hoping these would be the same. i ordered the pale blue and it is completely see through and fits tight in the back and loose in the front. i have no desire to have a brasports bra show whether out the sides or through the fabric, it is tacky!",1,0,8
45,this jumpsuit is absolutely fabulous. i normally do not wear jumpsuit but i like this one very much. it can be dresse down or dressied up. i really recommend this to everyone any shape who have. very relaxing and beautiful.,5,1,0
38,i found this dress to be shapeless on even when the belt was tied. i love the tshirt material and the fact it has short sleeves. it is just too boxy.,4,0,2
32,love the dress. runs a little big. i ordered a size down than i normally wear and it fit. versatile tooi even wore it to the office with a black blazer over it and got lots of compliments!,5,1,0
32,"this tee is very comfortable and the colors are amazing! i initially purchased in the marigold yellow as i was instantly drawn to the color in store. it is a beautiful shade that will transition nicely into fall. i have since purchased the green which i liked on even more so than on the rack. overall, a nice quality everyday tee. the pocket and embroidered neck make it something retailer!!",5,1,1
