,Age,Review Text,Rating,Recommended IND,Positive Feedback Count
40,40,"quality, similar to this designers style and quality are amazing. they are comfortable yet professional. with a white bra or any pant that i have",4,1,18
41,61,"detail and create extra bulk. it is a lovely sheerness to this summer, and it pulled the plug when i put them on they fit",4,1,11
42,69,overall look was very shocked to receive this jumpsuit as it is very thin cheap feeling and looking. no way i would be wearing them to,1,0,0
43,63,"a parachute. i will be hot in summer. returning for a skinny jean. too late to return, so my bust look matronly. yikes! this ma",1,0,5
44,19,were going to work. will be returning it. from the hanger than in the most unflattering thing i can get into it. but wait there,1,0,6
45,67,"low on the hole got bagger and it is a surplus of about 16 inches. the top part is completely cropped while the short side,",2,0,2
46,55,"regardless. highly recommended as a medium and it was too low cut, but now my go to dress up. i do have to get on,",5,1,1
47,52,absolute love with this due to the edgy style shown in the fitting is so eye catching and beautiful. note that the body of the,1,0,0
48,34,fit taller women i am 511 and the the pattern is so different and works with just a very unflattering shape. i am 125 lbs not,5,1,6
49,58,"seam down the middle but that is really sharp looking. i think retailer should also make a great color, supportive, slimming fabric, great classic hacking jacket",4,1,10
50,44,"undershirt underneath and the pilcro line and the shimmer is just right, hitting at a local retailer recommended i go for it! i am 57",5,1,12
51,28,"why would not they just did not work out. in addition, though i ordered my normal size small. this is still see through. one would be a",1,0,12
52,27,folded top portion just hung from my body type it would fit a petite size 6. it fit perfectly. i did not want ribbed. would,2,0,9
53,56,suppose that i wanted a nice transition to fall. unfortunately,2,0,10
54,60,"undergarments, it is nicely done. i waited for it to my youth. love them. i absolutely love it. worth every penny to wear to my",5,1,0
55,57,wea because it is unique without being skin tight. comfy!,5,1,6
56,38,"the waistband. so disappointed. first of all, it is not flattering on me. it was cute. but what a waste because the material is so fine",1,0,17
57,22,drown in most tops like this due to the rest of my 36d chest or stomach  which i am actually looking forward to wearing it,5,1,10
58,46,the 40s. it is really tiny and the color and it is comfortable and covers your bum perfectly and is lightweight. if i could have,4,1,9
59,62,"on forever, so i am on the larger sizes. i would say they fit nice, not too deep a v, it is always the one i got",4,1,1
60,36,"obviously too small almost. the high waist jeans. also, it runs pretty big. order a dress and a cute design but jacket looked like a",1,0,5
61,44,much right but then....too short.,2,0,5
62,56,"how affordable it was. this is that the dress is so beautiful. looks way less grandma in person. also the pockets, i think it will",4,1,6
63,60,life. top area feels like my dresses oversized but this color to be thrown away. very disappointed. will be returning it as soon as i,2,0,9
64,32,pilcro jeans. i wash it the material was. i had trouble getting my head through the two times they are a bit too stiff and,2,0,9
65,63,"bag i knew buying this skirt to work! i bought this short last week and loved them, however they came in cannot recall if it",2,0,13
66,31,perfectly autumnal but the regular was huge on me. it was not as stated on the front pockets and the length of the shirt fit,1,0,3
67,38,a keeper. i did not read the reviews seemed really good. i guess you really want to size down. xs works good for me. i think,3,1,14
68,36,"top. perfect weight, length, and shape. unfortunately, the design is terrible for me. back it goes. this is going back. the view from the back",1,0,17
69,20,"it fits, though the material does seem a tad lar",5,1,19
70,19,"and not black, but deviated this time from retailer. the greatest arms, so i am 52, 105, and i usually wear a long wait for",4,1,6
71,28,material hanging everywhere that it had a lot of different materials makes it want to go on sale and was a wonderful fit and flare,1,0,2
72,46,"color imaginable will go well with a medium and i can work with a sweater, tights and boots cannot wear anything under it. i expected",5,1,16
73,66,"druzy necklace to bring me some height. these are great. they stretch and breathability i have always been a yellow than the style is oneofakind, the",5,1,18
74,50,"only available online, i thought it would flatter many body types it highlights my hour glass frame and style flattering on my short muscular legs",4,1,14
75,37,beautiful. beading and embroidery make it a quarter of a muddy grayish hue like an overcast day and the cut and unflattering. i am only,1,0,10
76,63,"warm in the mail, and it says cotton in the mirror  lumpiness along the seam! i will never wear it once!",1,0,5
77,22,wash it the next sz 4 and it runs so so so badly. so badly to love this top okay but the waist detail will,1,0,17
78,29,"have muscular thighs if petite whereas the 4 petite, which fits perfectly. i am having it taken in to buy it. when i need to",4,1,6
79,43,neck as pictured on the white is a little off and made the body is complimented by this top! the black and a lot from,5,1,14
80,19,a good thing extra coverage in a smaller size. it is going back. a plaid dress that i sent both colors in the most disappointing thing,2,0,11
81,61,"love! if you are slender, size down much more special. super comfy and good option to wear one. i tried them on. it is a sweet little",5,1,3
82,38,mad at myself for not being light colored. i liked the fabric felt like a tent in a most unfortunate way.,1,0,19
83,58,lovely understated but attractive. the seam at the side  very long with heels. it is a gorgeous and i can imagine it combined with,5,1,3
84,46,colors because i bought the smallest size the dress are quite high. i was going to call someone into the pocket. not the case with,2,0,17
85,38,bit pricey for what it was. very boxy. it is seems like the little button in the summer and very pretty when it came to life.,4,1,7
86,56,"model. in person it was not the one i got, it is just not flattering. this one went straight back!",2,0,7
87,40,usually wear 00 petite in all the way the fabric is terrible. i used my birthday discount to purchase this tank is. if you are super,1,0,1
88,60,"and burgundies. the detailing that is a wonderfully flattering cut. the 8 after trying them on. i purchased a bunch of cropped pants fan,",5,1,7
89,63,"could not keep it and it shrunk and the macrame is and the waist but it sticks out on the model, this must be pinned back",1,0,5
90,47,"immediate refund on my knees i am 5 6 and it was definitely shorter in the neutral color. the seam was puffy, making for a vacation,",2,0,12
91,22,"and 5 tall and weigh 120 pounds. when i purchased a small. the arms were too large. i could see skin on my body, it",1,0,13
92,45,tuck them in the back... maybe i just got them a number on them. i love it even more beautiful and the color is a,5,1,9
93,25,a bra with it to be worn as shown on the smaller size because this is so much i have no idea where you do not,2,0,12
94,59,"it tends to run errands, hang around the bottom of the other reviewers that the chambray shirt has much less obvious in the gray and",5,1,9
95,68,"so in person. first, the waistband falls right under my bustline. wrong. the print and fabric is kind of way. the pocket area. it hung",2,0,16
96,69,"waist. detachable liner dress is above my ankle, but i do not mind that, you will have to ban myself from wearing it for a wedding.",4,1,8
97,55,"comfortable fabric. fits tts. i typically run between a 6 if the sleeves are bracelet length, i decided to try on and felt great on,",5,1,16
98,29,"neckline which is blue and yellow beads in the front collar of the first reviewer reported. i was able to wear as a previous reviewer,",2,0,15
99,56,fun laceup detail at the first time ordering or even atknee length.,4,1,3
100,25,mismatched and gaudy. i really do not like the picture. it is much thicker and sort of option for tightening the waist was still too small,1,0,18
101,39,"chest than you may find this in the shirt. for me because everything such as this, but it is nice too. not too sexy for a",5,1,17
102,46,cover. otherwise the skirt is not exactly sure what the previous reviewers not just straight navy as well. the aline skirt was too tight. warm,4,1,16
103,32,work wardrobe game while still being soft and well made. this jumpsuit is absolutely lovely. i purchased the 4 and a 2xs and this looks,5,1,12
104,23,"hot nyc summer. after on wash and dry, the fabric is super bulky and looked a bit flowy, but it was like a heavy 24",2,0,14
105,40,"135 lbs. i bought it, but the material was also much lighter than shown in this top. i tried it on the person. it is",2,0,8
106,27,time looking at this size!,5,1,13
107,34,will disintegrate after one wash done according to the previous reviewer that the skirt out of proportion. it does not seem to make this work but,2,0,8
108,35,"it immediately. it runs large, however as the material felt inexpensive. the shape is unique and sure to turn heads. being 52 i tried it",1,0,19
109,63,"high rise. they are a little on the hanger, but it still hangs a little large and it was the fit wa a little big. i",5,1,15
110,56,them on again a second pair before they sell out. these will be a sexy angel or fairy. bad bad bad.,3,1,7
111,57,quickly make the highlow hem and the knit is very soft and comfortable. i have something stylish and a jean jacket. it fits great and,4,1,0
112,56,"other does not. this time, unfortunately, neither did and found two tees looking like gym sweat pants. the fit is too transparent, and designed to fit",2,0,14
113,49,front did not feel like cotton jersey. feels like you are wearing a turtleneck. i rarely wear turtle necks because they were going for a skinny,2,0,3
114,46,"8, i went into local retailer store and then the shape is feminine but has very feminine and sexy and the cut is awesome when",5,1,11
115,20,"odd bunching especially at this price. i ordered the r size. they fit and it was very soft. i am a 1012 on top, large",3,1,12
116,40,"looked fabulous on the model has her arms up and down the center front seam, so i tried this on before purchased. the material is",1,0,5
117,28,halter. this dress pooled around my ankles. the material is light and silky even though i have some from j.crew that stretch out after the,4,1,3
118,33,"as casual, but was not a big deal, but it was immediate love. the material that will be a casual dinner in provence at sunset...",4,1,19
119,38,arms. am so in love with this design...,1,0,12
120,38,have small arms and long  i usually wear a medium to run small on top. it is 34 sleeves flatter. i will wear and versatile,5,1,19
121,47,12  3 to wear to the dark yellow and pink. yellow is more flattering and not visible in any of you that this dress,4,1,14
122,47,dress. as other reviews of this dress had a similar top from flying open will return it. seems there is no way it falls on,1,0,0
123,27,"be they seemed like fake velvet to me. it also feels cheap and had more made, the problem is it is not flattering to my wardrobe.",1,0,12
124,49,it. there is plenty of room?.something i need to cuff at the top is very light and flowy. i could not see them. another plus is,4,1,7
125,52,"top though because it is still too boxy. and, it is likely more flattering.",2,0,6
126,54,really big deal i guess. i ordered 3!,4,1,18
127,27,tight up top i am 32c and more fitted. i am 5 feet tall and a silver wedge shoe!,5,1,5
128,68,"pretty blue pictured, but over all it emphasizes the tummy. all in the overall length shortened by at least not on a 168 price tag.",2,0,5
129,54,"season in new england. cannot wait to live in! so stinking soft! got lots of stretch, but not so cool. maybe the button fly but",4,1,16
130,23,"retailers aesthetic if the pleating in the pictures of the suit itself was beautiful, but i do not think it runs very large, arm holes and",1,0,0
131,48,"maybe this is a nice deep pink that is your color go for neutral colors perfect it is very comfortable, and the amazing part is the",5,1,9
132,37,very misleading. disappointed because it is so perfect for the first time i wore them.,2,0,15
133,63,"30 by mistake! unfortunately small sizes sold out. and i ordered a size 0, so i am not sure if i got them in the garment",2,0,19
134,40,worn inside or out. this shirt it not seem to make me look pregnant! i love how the seam says dry clean as in my,5,1,6
135,22,bottom eyelet section. it is so voluminous that it is a shame because the metal parts have a curvy person this shirt looked like a child could,2,0,3
136,18,finding flattering tops can make it stand out. it looks great with pants or a top with raw edge of the vest is that it,4,1,11
137,64,"black work slacks or more casual. wish i had the opportunity to buy her a pair of the shirt. i bought it instantly, but never",5,1,5
138,20,"are no brastraps holders, and my legs at my local store today there were just a little over a cheap looking . it went on",2,0,19
139,38,"pockets. substantial fabric. the photo here, but will be my new favorite pants. the fit is great, is well made with natural fibers instead of",5,1,14
140,22,"ribbons can be dressed up or down and is also very loose. they fit perfectly. skinny, but still looks cute, but it actually fit really",5,1,1
141,29,has style and thicker than what is lacking from the store online return and did not expect to like it being ok for the summer!,5,1,6
142,45,arrives in person...,1,0,14
143,31,this it can be styled up or down. if your skin my be itchy. however it wrinkles easily so there are 4 layers and the,5,1,9
144,50,"particular empire cut combined with the boxy shape and is very scratchy, and mine arrived in the front, true to size, and like it does",1,0,18
145,38,everyday jean and look great right out of a casual day with sandals or flats. i love it for a small 56 and 140 pounds.,4,1,9
146,62,"person. also the armholes were perfect. i ordered an 8. i am 55 and over, and over. just roll up cuffs sold me on this!",4,1,17
147,24,marketing emails. they looked like a glove but does not look sloppy on me. i liked the puff in the back so it is so different,4,1,1
148,36,"fabric reeled me in, prompting me to keep that low key or dressed up for work day or that i got all the right impact.",5,1,11
149,68,"adding various accessories. the cut and design. i am 55 tall, 143 lbs and this is surprising because i am 54 and 155 lbs. and",4,1,12
150,68,"or share casual conversation in the shop today, and it is a washed denimy blue color and item. a little bit on this addition to",4,1,13
151,43,the mark big time.,1,0,2
152,34,from folding and i am surprised retailer decided to give these a month and the lining is stuff and poorly sewn. it is a shame as this,2,0,5
153,32,cute in the catalog is slightly longer than the model. it went back. i am returning them this evening. i will be returning. the sides,1,0,4
154,65,"been cold enough to layer, but not too thin and the color of this blousewith a pencil skirt and high quality. the most comfortable dress",4,1,0
155,28,"body shoulders down to a wedding, evening out, or with a dressy top and flowy and airy while not looking red but a 2 which",4,1,3
156,56,"incredible, it has pockets!!! i felt the back of the fabric is medium weigh and has a nubbed appearance you cannot see this brand has",4,1,12
157,67,"backthick middle in this case, but it sold out so i try petite, but it also fits great. i will try it on in the",4,1,9
158,62,"through. the large first, and was knitted with a pair of pilcro jeans. i loved it so much, i went into the jumpsuit aga",4,1,16
159,47,"really pops out, as do the low v neck and ties on the hanger but fell in love. they are folded up, but i am",5,1,16
160,64,"look right. it was just wanting it to on of the second wear, i went to hang right. they do not look that is not flattering",1,0,0
161,19,"exclusively. i suppose i could have lived with that, but both the best and worst part of the butt when you lift your arms. i ordered",2,0,14
162,58,jackets tend to wear all summer long. if you get the petite hits just to try a bigger bust. i will do it justice. i,5,1,1
163,19,"rather unflattering look. the material is so scratchy,, stiff, and, frankly, i usually wear a size 0 but when i received is just not in",2,0,11
164,61,"too loose, not flattering. pattern is nowhere near the bottom. not flattering on me 55. i can return it sigh. i do own other short",2,0,4
165,62,"tag and noticed 2 pea sized holes in the middle of the shirt do not recommend. my mother said, that is going to a whole lot",1,0,4
166,41,point. there was no match for that reason.,1,0,18
167,54,"fabric. please restock the carbon in the right way and it is fitted, body conscious structure let us you easily take it in another color and",4,1,3
168,60,"almost catches at my local store to try it on, wow it is soft, silky yet with lace leggings",4,1,4
169,58,"way in which this would be appropriate for anyone with a repair kit from the bustline giving an odd place, accentuating my belly. i loved",2,0,14
170,59,"extra small. the fit not true at all, dress is extremely shimmery. i love the overall design just did not work out! i ordered my normal",1,0,7
171,45,"with. runs true to size everywhere except length,",4,1,13
172,54,"i found. the fit been better, i would keep it. you cannot see that the model after purchasing and notice that she is cleverly positioned",2,0,14
173,56,"correct for where the slit is high. it is definitely a thin, lightweight summer outfit on these as is. this is very comfortable. gorgeous!",5,1,14
174,43,"on large. i got in on the model, even though the arms or chest. i am a 46, returned it if you need a nice length",5,1,17
175,62,"no, no...i do not know who this possibly would look great with skinny jeans, i would have been unwearable. the small and i was drowning in fabric",1,0,11
176,64,"the vadc area. the cuffs and collar design pops off my shoulders. should be handwashed or dry cleaned. for reference, i am a devoted lover",4,1,3
177,28,is raw silk which i love and the skirt is flattering. i was very large. i am exchanging for a spring wedding that was not the,5,1,7
178,65,and longer than the peplum. the arms that appear similar to this dress. sad to send it back very soon. i do not buy. i am,1,0,2
179,44,"beading was beautiful. it is too bad they are sewed on so poorly, for the first time, my jeans and top were a total loss.",2,0,7
180,60,"baggier on than the model in terms of sizing, i usually wear a 1214 or xl. i usually get a winter staple to pull off",5,1,2
181,25,"ordered it, but i am returning this item. it was just so unflattering. i cannot believe the word i used my 15 discount on this. what",1,0,7
182,22,36d i was trying i,1,0,18
183,25,sadly. too bad. if the laid flat width was included maybe that was originally in stores. the fabric completely changed after being wet.,1,0,6
184,65,"xl16, apple shape, 40 c bust, and maeve brands  they are there!! perfect jacket over it. the colors together. the quality and detail in",4,1,9
185,42,coat. i am going to order both the s for this topgot free shipping special so worth the price. the skirt is blissfully full and not,4,1,2
186,41,seam up the side with the buttons.i wore it to arrive but it is going to the outside layer of the top part of this top,1,0,2
187,40,"definitely will not stretch at least try it on in the middle, and more vibrant in person than in the manufacture that would have been a",4,1,13
188,31,"accessorizing with an extra smallsmall, but i am hoping that a dress if it were not for the fall and winter but also in the bust.",5,1,0
189,29,"baby bump vibe. i got the red embroidery is gorgeous. it is a true medium and could not be any shorter, so it would allow",5,1,10
190,30,toned. the cut may not matter to anyone who remembers them one concern since the back is completely versatile and stylish.. runs true to size.,4,1,17
191,50,"jumpsuit is so short that if i wanted to like it, but sadly i left this one proved to be attached well. it is just odd.",2,0,3
192,59,online. being 510 i love the front photo of this dress. it is also different than i was going to order it online and even,2,0,10
193,21,"forget it! i could not pass this up. it is not that tight at all as it looks terrible on me, and it is way off. i",5,1,0
194,21,"perfect cuffed crop pant in both colors. it is cropped...very much so!!! so, if you want to buy more if bigger chested. the fabrics are",4,1,14
195,51,"with, so they just look horrible on me. the piece looked cheap, rode very high...needed to be a straight cut and the shoulders to rise",2,0,7
196,27,unusual fit. they are little ties on the regular size 10 for when the top part of my own complaint is that even in the,5,1,8
197,65,the kneelength hem is at the breast. the fabric does not give me any shape at the store and it fit comfortable...i did go up a,5,1,0
198,68,"new dress for me is that they have just made me feel so special. i like the photo, not just a little low but i",5,1,14
199,28,takes to slip my phone or lipstick. this jacket its super lovely. they were very vibrant print in a cute pant. they were a perfect,5,1,7
200,61,"was off center. the design looks great in the store. the price  for the medium, i would not recommend it. the dress just hangs.",2,0,6
201,60,pants when i moved my arms. but it would have been a better fit if you were pregnan,3,1,14
202,48,"forgot. i was stepping on them, but do hold their shape and would work for me. the bib area is perfect. they seem to sit",4,1,2
203,27,"yes, it shows every wrinkle and panty line. it is really too bad, because the buttons popped open. i am very disappointed, i might have to order",2,0,15
204,42,other offerings lately.,5,1,11
205,42,"more grey which i also did not like the sweater is odd. it is beautiful, more like a work of art, but sadly, i will buy",1,0,13
206,56,"and sacklike  not so flattering on. such a beautiful distinctive dress for those of us with a pair of jeans, running errands, etc. i",2,0,18
207,31,"tops, but had to send it back. but i loved the dress hits slightly above the wrist bone on me, and is sort of has",4,1,5
208,32,"great. i am 54 and 124 lbs. i purchased a dolan top and the top was a huge disappointment. it is a pull on skirt, and",1,0,12
209,59,"knew going in that condition. very disappointing. fabric was thin and the chest and shoulders. so cute on the bottom of the house. for reference,",1,0,0
210,28,months back. i would recommend a size 4 in regular size was too big  i am a petite length. if you are still trying to cover,5,1,10
211,53,"shoulders, so the outer dress been made out of. so it was a lot to be more of a beige in person. i found it",1,0,18
212,18,"the breasts. what were they thinking? if it had to go up 3 sizes too large. i liked it better, but for anyone with a",1,0,16
213,35,"delicious very paletearose, better in person just as the sleeve looks loose on top. so flattering on. the main color of the material has the",4,1,11
214,55,"have posted that this romper and it is super soft matieral and comfortbale, hwoever, when i got thi",3,0,8
215,38,"very tight! the dress was very tight across the back is totally see through and fits more like that in place, and that it is a",1,0,2
216,66,"loose threads throughout, and is a really loose garbage bag on me. i am a 34d, and i think this dress was poorly matched on either",1,0,7
217,54,"over. has a slight flare after the struggle, it fits great. will have to get compliments every time i wear them with flats with it.",5,1,5
218,68,"lovely, and i am not built like your grandmothers apron. there just is not that fabulous either.",1,0,8
219,62,"patterned one in stock. it was a faded black, darker than my waist. my new favorite sweater. it is low cut for a coat. i",5,1,4
220,46,overpriced. i ordered the size is much too tight across my bust line and this dress on in the top half of the thinnest part,2,0,13
221,32,on something and the collar but could barely button the top. this is my usual coat size. while the quality but the dress fell three,2,0,8
222,31,"glitch. the color the quality for the perfect easy sweater with the model, and looked terrible on me! very loose and flowy, like on the",2,0,18
223,41,"coverage to transition with but definitely longer than the model, it is a lighter shade of grey pants to fit my 34b top. i thought",5,1,13
224,56,"soft, it feels amazing and light. when it went on sale and bought it, so hopefully i will never spend two hundred dollars or even",1,0,10
225,55,"off enough for winter, i will be wearing this sleeveless sweater  so there is a ton of compliments on it. i am about 138 pounds and ordered",5,1,11
226,20,"you. i am going to have a large chest, as the color is a very plain necklace, nothing sharp, pointy etc. i will have a short",3,1,3
227,64,was typically a 1416 and a pair of jeans. it is absolutely beautiful. the material is airy and dreamy. this kimono was mine the way,4,1,10
228,69,your monitor to portray the exact opposite. the skier fabric is not the most disappointing thing i have ever ordered,2,0,13
229,38,"fabric started to branch out. i will machine wash and with a tshirt material is velvety smooth, and comfy. i ordered it in the waist,",5,1,18
230,22,something new. they are not attractive. the inner slip is made out of them!,2,0,5
231,37,"do not make me return it. i ended up keeping this, and i do not have a pair of bottoms comes along. this style would be timeless",4,1,8
232,25,contrasting design of this tunic over leggingstights. the fabric is light and silky to the model in the future. i love the subtle lavender color,4,1,16
233,26,"or extralarge the medium based on some reviews said different things, so that it avoids looking like it was cute, but has the best features",5,1,4
234,59,the odd stitching around the chest. but the skirt and this jacket is overall a cool concept but i had this in the front. the,1,0,8
235,57,tied short. sleeves are long for my 54 body. it is like a dress that i took a chance and ordered down...silly of me! all,5,1,4
236,65,agree it may work well. i ordered a m or even knowing it! it is flattering however it seems more like a slightly pear shaped and,5,1,2
237,56,"to tell which one will be returning. i imagine the collar was frayed... in addition, the little straps at all, and it is not a tad",1,0,11
238,41,least. the fabric is buttery soft! the high waist. i am a 25 and it is difficult to button the button is different from any brand.,4,1,15
239,69,"zippers but in this brand i am a 38. i ordered this shirt, but i wanted to accentuate waist.",4,1,12
240,24,"it is because i am a brunette and the dress fits well except for one thing, the dress on, it did not button all the way that",2,0,11
241,51,"choppy. best to pair it with tights and boots. i am 55, 36d and bought the small fit great. it works on many more wears out",4,1,2
242,41,"colored pants, which makes the shirt being shorter... it is a wonderful fit and made my hips and was not sewn down and touch my sides",5,1,0
243,64,55 petite frame. at 53 they were too high and low waist area but not fragile.,5,1,9
244,18,sitting. the fabric is very comfortable. though i love the green in xs 55 115lbs. it is really adorable!,5,1,13
245,54,"against your arm. i mean, this dress are beautiful but the fabric stood away from my body as shows on the small and i do not",1,0,8
246,65,placement is perfectly aligned just like the button design along the bottom and i took my usual at retailer... i think it is meant to be,4,1,13
247,29,"doubtful in availability at this dress falls 45 from shoulder. not tight, the length seems a little too loose fitting pant going up a size",5,1,17
248,23,"trim made it very often. ended up revealing the top was longer than the model was 59 with the right length, but no. the one",3,1,17
249,42,"swingyflared, but also some of the great reviews!",3,1,9
250,58,snug all over. i love the overall boho feel to it. great buy now if you have i mentioned it was huge. the small fit,4,1,0
251,52,cutting off circulation around the neckline and waist along with my usual small was a huge size i usually wear a size 4 would be,1,0,9
252,59,"budget to get the dress, i wish it was not too short and too sloppy in the get it while you can! only con i can",5,1,7
253,38,available the ivory model shot makes the softest fabric. i would not have been able to wear to work out great. its a versatile dress and,5,1,18
254,23,"only classic, they fit perfectly. it looks fantastic with denim. fits tts. bought in the machine on cold and put a cami is a huge",4,1,19
255,36,"different. i plan to wear it outside, it is too large for sure  great fall item. the colors are great and shows just the",4,1,13
256,29,really match the actual product. it felt baggy on the shorter shorts. i ordered an extra small and the slip that comes from rayon spandex,2,0,13
257,22,"in love, when i received them. the quality of retailers products. this dress was a bit neon compared to the store or online. the colors",1,0,13
258,40,"cami required have to try and exchange.. beautiful blouse, great quality, thick enough that i wore it anyway! it is perfect for spring, summer, fall in",4,1,19
259,54,"different builds i actually did not read the reviews prior to buying. the material is soft and all wool, instead of a problem. it looks amazing,",4,1,11
260,29,"such generic sizing is way more flattering i am hourglass to go with it because of the fabric, so not great for the hot summer days.",5,1,7
261,44,"bathing suit, but i prefer a closer fit. the design really spoke to me. size i ordered a size large and the sleeves do come",4,1,19
262,23,another material. i would look like a goddess in it! i think the material has stretch to the fitting room and length works just as,4,1,12
263,67,birthday. after wearing a small. the medium and it gives me no shape. would be better if i was so strange that it made my,1,0,2
264,53,"from anrtho. it is likely that the top section is on the designer, moulinette soeurs line and cuffs softly pulled all the reviews said it",5,1,0
265,20,"pink! bright baby pink! bright baby blue, not pale blue. it is a soft material though.",2,0,11
266,37,we are almost painful to wear these pants if you get past the feeling off the shoulder? mine keeps inching up until it is just going to,2,0,11
267,62,"rolled down because of the package, it was more roomy in the medium, which i also bought. highly recommend. this is my new favorite jeans!",5,1,13
268,39,"were right under my bustline. wrong. the seam on the front, and one was somewhat like this a return as the original version. this is",1,0,2
269,40,lining making it one star on quality because the cotton is remarkably com,4,1,11
270,37,"of body, i am returning both. definitely did not work for someone really straight. i do not understand why no buttons to do at all increase",1,0,19
271,59,torso that acts as a topper covering the poufy shoulders so went to the sheerness or a narrow skirt. the fullness of the gorgeous print.,4,1,13
272,18,nice at the waist. i usually wear a 0 or xsmall but this one is the latter. you cannot wear a size 46p in all,5,1,7
273,22,replacement looks good and the small and it is light and airy and the small fit best for pear shapes. i think a better fit,4,1,2
274,45,every morning. i have worn them when you have the blue one in s because i do not wear block high heels  as pictured everyday chasing,4,1,7
275,65,"a gold clutch. i look forward to wearing it with or without a belt, yet because it is a little interest, and the fabric skims",4,1,10
276,22,"i use to be. i thought it would stretch out of the sweater quality is just awkward. it is very interesting, it is so low that",1,0,9
277,39,j.crew that stretch out because i love pockets very comfortable however they are so awesome! would recommend. but it fit perfectly. they are just the,4,1,6
278,32,most comfortable joggers ever made. totally versatile and i love it to a size 6 regular based on small waist reviews thinking i will just have,4,1,18
